T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
29.9,38.5,24.3,1008.3,53,1.9,6.7,22.2,48.91666666666666
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
31.4,37.8,22.0,1006.9,38,2.3,13.7,22.2,76.91666666666667
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
18.2,26.1,12.2,1016.3,54,1.9,24.4,33.5,29.0
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
19.0,26.8,11.7,1016.3,58,2.6,16.7,29.4,34.25
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
18.7,27.8,13.3,1016.2,69,2.4,7.4,25.9,62.70833333333334
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.6,30.6,15.7,1015.4,62,2.6,8.1,20.6,41.583333333333336
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
22.5,31.8,13.7,1014.6,57,2.3,5.9,14.8,50.91666666666666
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
24.0,33.8,13.6,1009.7,53,1.9,4.6,18.3,40.958333333333336
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
23.8,33.0,14.9,1010.4,64,1.9,3.9,11.1,95.25
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
22.6,33.0,18.1,1013.1,67,2.1,11.3,22.2,115.83333333333331
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
23.0,30.0,14.4,1016.1,55,2.7,6.7,14.8,149.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
24.6,31.7,17.9,1008.5,68,2.3,14.1,27.8,160.66666666666666
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
27.1,34.8,17.7,1009.7,52,1.6,6.1,11.1,173.58333333333337
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
26.1,34.8,17.9,1008.8,54,2.6,11.9,18.3,168.625
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.6,34.3,17.7,1010.4,51,2.6,15.9,22.2,272.4166666666667
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.2,29.6,16.7,1008.6,54,1.9,13.1,22.2,226.29166666666663
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
23.8,30.9,16.7,1009.0,52,1.6,6.5,13,291.7083333333333
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
24.7,31.5,17.0,1008.6,57,2.1,7.6,14.8,217.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
15.0,24.0,7.6,1017.4,81,0.6,2.2,7.6,309.375
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
16.3,24.0,12.0,1017.2,80,0.8,1.3,9.4,166.91666666666666
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
18.7,26.3,9.5,1015.3,64,1.6,1.7,7.6,429.16666666666674
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,192.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.7,21.7,8.4,1017.1,71,1.8,10.9,22.2,235.33333333333331
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
14.8,22.6,8.5,1016.8,67,2.1,9.3,18.3,153.29166666666666
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
17.4,25.4,10.3,1015.8,63,1.9,6.7,14.8,221.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.1,26.7,10.2,1013.8,61,2.6,5.0,11.1,210.54166666666663
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
18.3,23.2,12.7,1011.2,75,1.9,10.0,22.2,251.20833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.4,22.0,11.2,1015.5,81,1.6,5.9,18.3,194.70833333333331
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
16.9,23.5,10.1,1016.8,80,1.3,5.2,22.2,250.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
19.3,26.9,12.1,1015.6,74,1.6,5.9,11.1,274.875
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.2,24.2,10.8,1018.3,74,2.6,4.6,14.8,160.0
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
17.7,26.5,9.8,1015.3,73,1.4,4.8,14.8,217.91666666666663
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
20.4,28.4,15.2,1014.7,62,2.4,5.0,14.8,184.20833333333331
9.1,15.3,4.0,1015.6,90,0.5,0.0,-,118.91666666666669
9.1,15.3,4.0,1015.6,90,0.5,0.0,-,118.91666666666669
9.1,15.3,4.0,1015.6,90,0.5,0.0,-,118.91666666666669
9.1,15.3,4.0,1015.6,90,0.5,0.0,-,118.91666666666669
9.1,15.3,4.0,1015.6,90,0.5,0.0,-,118.91666666666669
9.1,15.3,4.0,1015.6,90,0.5,0.0,-,118.91666666666669
9.1,15.3,4.0,1015.6,90,0.5,0.0,-,118.91666666666669
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,176.375
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,185.95833333333331
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,239.125
